"msoa21","msoa21_name","heat_vuln_risk","heat_social_vuln_tertile_label","care_or_nursing_home_n","hospital_n","nurseries_n","under5","over75","life_expectancy_decile"
"E02005009","Hamstreet & Isle of Oxney","High heat, not enhanced risk","Lowest heat risk",1,0,1,241,743,9
"E02007046","Bybrook","High heat, not enhanced risk","Medium heat risk",3,0,4,398,702,5
"E02007047","Godinton, Repton & Orchard Heights","High heat, not enhanced risk","Lowest heat risk",0,0,3,615,320,5
"E02006227","Lavenham, Bildeston & Brettenham","High heat, not enhanced risk","Medium heat risk",1,0,0,226,918,10
"E02006228","Glemsford & Lawshall","High heat, not enhanced risk","Lowest heat risk",2,0,0,317,663,7
"E02006229","North Sudbury & Long Melford","Lower heat risk","Lowest heat risk",2,0,1,234,971,10
"E02006230","Hadleigh","High heat, not enhanced risk","Lowest heat risk",4,0,2,485,1482,7
"E02006231","Sproughton, Washbrook & Hintlesham","Lower heat risk","Lowest heat risk",3,0,3,456,799,7
"E02006232","Acton, Great Waldingfield & Bures","Lower heat risk","Lowest heat risk",0,0,0,286,700,7
"E02006233","Sudbury","Lower heat risk","Medium heat risk",7,0,3,598,1508,5
"E02006234","Great Cornard","High heat, not enhanced risk","Lowest heat risk",4,0,1,534,878,4
"E02006235","Leavenheath, Nayland & Boxford","Lower heat risk","Medium heat risk",2,0,2,303,1097,9
"E02006236","East Bergholt, Brantham & Capel St Mary","Lower heat risk","Lowest heat risk",0,0,6,364,1384,10
"E02006237","Shotley Peninsula","Lower heat risk","Lowest heat risk",2,0,3,285,1002,8
"E02000002","Marks Gate","High heat and enhanced risk","Highest heat risk",2,0,3,607,508,4
"E02000003","Chadwell Heath East","High heat and enhanced risk","Highest heat risk",0,0,4,1014,616,5
"E02000004","Eastbrookend","High heat, not enhanced risk","Medium heat risk",3,0,1,430,557,3
"E02000005","Becontree Heath","High heat and enhanced risk","Highest heat risk",0,0,2,902,369,5
"E02000007","Central Park & Frizlands Lane","High heat and enhanced risk","Highest heat risk",1,0,2,728,434,2
"E02000008","Becontree East","High heat and enhanced risk","Highest heat risk",0,0,4,878,447,2
"E02000009","Becontree West","High heat and enhanced risk","Highest heat risk",0,0,1,1011,313,3
"E02000010","Dagenham North","High heat and enhanced risk","Highest heat risk",0,0,0,671,314,4
"E02000011","Dagenham Eastbrook","High heat and enhanced risk","Highest heat risk",3,0,3,516,421,1
"E02000012","Longbridge & Barking Park","High heat and enhanced risk","Highest heat risk",0,2,1,796,536,6
"E02000013","Becontree South","High heat and enhanced risk","Highest heat risk",0,0,4,724,314,4
"E02000014","Dagenham Central","High heat and enhanced risk","Highest heat risk",1,0,1,624,386,3
"E02000015","Old Dagenham Park & Village","High heat and enhanced risk","Highest heat risk",0,0,5,634,262,2
"E02000016","Barking Central","High heat and enhanced risk","Highest heat risk",0,0,4,1052,66,4
"E02000017","Barking East","High heat and enhanced risk","Highest heat risk",4,0,2,619,238,9
"E02000018","Mayesbrook Park & Rippleside","High heat and enhanced risk","Highest heat risk",0,0,0,749,278,3
"E02000019","Goresbrook & Scrattons Farm","High heat and enhanced risk","Highest heat risk",2,0,2,808,240,2
"E02000020","Creekmouth & Barking Riverside","High heat and enhanced risk","Highest heat risk",3,0,4,1290,388,5
"E02000021","Rylands Estate & Dagenham Dock","High heat and enhanced risk","Highest heat risk",1,0,0,611,334,1
"E02000022","Gascoigne Estate & Roding Riverside","High heat and enhanced risk","Highest heat risk",0,0,3,881,34,9
"E02000023","Thames View","High heat and enhanced risk","Highest heat risk",1,0,5,655,137,3
"E02006799","Becontree North","High heat and enhanced risk","Highest heat risk",1,0,7,871,424,2
"E02000024","High Barnet & Hadley","High heat, not enhanced risk","Medium heat risk",5,0,4,563,1049,8
"E02000025","Hadley Wood","High heat, not enhanced risk","Medium heat risk",0,1,3,479,587,7
"E02000026","Oak Hill","High heat, not enhanced risk","Medium heat risk",2,0,0,410,562,10
"E02000027","Ducks Island & Underhill","High heat and enhanced risk","Highest heat risk",6,2,1,467,699,4
"E02000028","New Barnet West","High heat, not enhanced risk","Medium heat risk",1,0,3,370,459,9
"E02000029","New Barnet Town & East Barnet","High heat and enhanced risk","Highest heat risk",0,0,2,725,466,8
"E02000030","Totteridge & Barnet Gate","High heat, not enhanced risk","Lowest heat risk",3,0,1,411,917,9
"E02000031","Oakleigh Park","High heat, not enhanced risk","Medium heat risk",5,0,5,527,784,10
"E02000032","Osidge","High heat, not enhanced risk","Lowest heat risk",1,0,1,287,740,10
"E02000033","Brunswick Park Road","High heat, not enhanced risk","Medium heat risk",1,0,1,478,567,6
"E02000034","Whetstone East","High heat and enhanced risk","Highest heat risk",0,0,0,486,623,9
"E02000035","Woodside Park","High heat and enhanced risk","Highest heat risk",3,0,6,474,735,6
"E02000036","Edgware East","High heat, not enhanced risk","Medium heat risk",2,0,2,682,729,9
"E02000037","Edgware Park","High heat, not enhanced risk","Lowest heat risk",0,0,5,716,787,10
"E02000038","Friern Barnet","High heat, not enhanced risk","Medium heat risk",8,0,5,496,705,5
"E02000039","Mill Hill Park","High heat, not enhanced risk","Medium heat risk",0,0,4,471,514,10
"E02000040","Mill Hill East","High heat, not enhanced risk","Medium heat risk",0,0,1,634,583,10
"E02000041","Edgware Central","High heat and enhanced risk","Highest heat risk",1,0,3,536,641,7
"E02000042","North Finchley","High heat and enhanced risk","Highest heat risk",7,0,4,600,798,7
"E02000043","West Finchley","High heat, not enhanced risk","Medium heat risk",4,0,0,432,517,10
"E02000044","Mill Hill Broadway","High heat and enhanced risk","Highest heat risk",0,0,2,529,276,5
"E02000045","Colney Hatch","High heat and enhanced risk","Highest heat risk",0,0,2,579,464,9
"E02000046","Church End","High heat and enhanced risk","Highest heat risk",0,0,2,458,414,10
"E02000047","Burnt Oak & Watling Park","High heat and enhanced risk","Highest heat risk",1,2,3,845,481,4
"E02000048","Copthall & Downage","High heat, not enhanced risk","Medium heat risk",1,0,3,668,822,10
"E02000049","Grahame Park","High heat and enhanced risk","Highest heat risk",0,0,2,748,224,6
"E02000050","Fallow Corner","High heat, not enhanced risk","Medium heat risk",1,0,3,565,550,10
"E02000051","Finchley Central","High heat and enhanced risk","Highest heat risk",0,0,5,501,936,10
"E02000052","East Finchley","High heat and enhanced risk","Highest heat risk",0,0,4,562,630,10
"E02000054","North Hendon & Sunny Hill","High heat and enhanced risk","Highest heat risk",5,0,1,444,385,8
"E02000055","Hendon Central","High heat and enhanced risk","Highest heat risk",0,1,5,729,633,9
"E02000056","Hampstead Garden Suburb","High heat, not enhanced risk","Medium heat risk",4,0,2,487,1012,10
"E02000057","Hendon Park","High heat and enhanced risk","Highest heat risk",2,0,2,697,389,7
"E02000058","Temple Fortune","High heat, not enhanced risk","Medium heat risk",0,0,1,774,945,10
"E02000059","West Hendon","High heat and enhanced risk","Highest heat risk",3,0,3,759,510,6
"E02000060","Golders Green North","High heat and enhanced risk","Highest heat risk",5,0,4,1139,804,9
"E02000061","Golders Green South","High heat, not enhanced risk","Medium heat risk",3,0,4,445,616,9
"E02000062","Brent Cross & Staples Corner","High heat and enhanced risk","Highest heat risk",0,0,3,455,214,4
"E02000063","North Cricklewood","High heat and enhanced risk","Highest heat risk",1,0,1,461,359,7
"E02000064","Childs Hill","High heat and enhanced risk","Highest heat risk",1,0,2,465,332,10
"E02006953","Colindale East","High heat and enhanced risk","Highest heat risk",0,0,1,726,106,10
"E02006954","Colindale West & South","High heat and enhanced risk","Highest heat risk",3,0,2,746,310,10
"E02001509","Royston West","High heat, not enhanced risk","Medium heat risk",2,0,1,401,562,3
"E02001510","Royston East & Carlton","High heat, not enhanced risk","Medium heat risk",0,0,0,317,435,2
"E02001511","Shafton & Upper Cudworth","High heat, not enhanced risk","Medium heat risk",1,0,1,278,559,3
"E02001512","Mapplewell & Staincross","High heat, not enhanced risk","Medium heat risk",4,0,2,482,809,2
"E02001513","Darton & Kexborough","High heat, not enhanced risk","Lowest heat risk",2,0,0,334,788,5
"E02001514","Grimethorpe & Brierley","High heat and enhanced risk","Highest heat risk",3,0,1,567,478,1
"E02001515","Athersley","High heat and enhanced risk","Highest heat risk",1,0,1,631,592,1
"E02001516","Cudworth Village","High heat and enhanced risk","Highest heat risk",3,0,0,408,387,2
"E02001517","Monk Bretton","High heat, not enhanced risk","Lowest heat risk",2,0,2,344,821,4
"E02001518","Honeywell","High heat, not enhanced risk","Medium heat risk",2,0,0,565,734,3
"E02001519","Lundwood","High heat and enhanced risk","Highest heat risk",4,0,3,525,504,1
"E02001520","Wilthorpe & Barugh Green","High heat, not enhanced risk","Lowest heat risk",1,1,3,546,1331,8
"E02001521","Barnsley Town & Park Road","High heat and enhanced risk","Highest heat risk",3,0,5,693,539,4
"E02001522","Thurnscoe","High heat and enhanced risk","Highest heat risk",3,0,1,693,678,1
"E02001523","Ardsley & Stairfoot","High heat, not enhanced risk","Medium heat risk",3,1,0,355,646,3
"E02001524","Silkstone, Hoylandswaine & Cawthorne","High heat, not enhanced risk","Lowest heat risk",1,0,3,191,804,9
"E02001525","Worsbrough Common","High heat and enhanced risk","Highest heat risk",4,2,2,361,412,1
"E02001526","Kendray","High heat and enhanced risk","Highest heat risk",1,0,0,440,373,1
"E02001527","Dodworth","High heat, not enhanced risk","Medium heat risk",4,0,0,253,648,3
"E02001528","Darfield & Great Houghton","High heat, not enhanced risk","Medium heat risk",7,0,1,617,1006,3
"E02001529","Worsbrough","High heat and enhanced risk","Highest heat risk",3,0,4,428,869,1
"E02001530","Goldthorpe","High heat and enhanced risk","Highest heat risk",0,0,2,500,429,3
"E02001531","Wombwell North","High heat and enhanced risk","Highest heat risk",2,0,1,478,579,4
"E02001532","Penistone","High heat, not enhanced risk","Lowest heat risk",1,0,6,495,823,7
"E02001533","Bolton-upon-Dearne","High heat, not enhanced risk","Medium heat risk",2,0,0,422,440,3
"E02001534","Wombwell South","High heat, not enhanced risk","Medium heat risk",5,0,2,539,595,3
"E02001535","Ingbirchworth, Dunford Bridge & Thurgoland","High heat, not enhanced risk","Lowest heat risk",0,0,1,246,650,9
"E02001536","Birdwell","High heat, not enhanced risk","Medium heat risk",3,0,2,440,962,4
"E02001537","Elsecar","High heat, not enhanced risk","Medium heat risk",1,0,2,454,563,3
"E02001538","Hoyland","High heat, not enhanced risk","Medium heat risk",1,0,4,359,745,3
"E02003977","Askam & Dalton North","Lower heat risk","Medium heat risk",1,0,0,273,540,4
"E02003978","Dalton South","Lower heat risk","Medium heat risk",1,0,0,260,624,5
"E02003979","Hawcoat & Furness Abbey","Lower heat risk","Medium heat risk",4,3,3,331,1235,5
"E02003980","Orsmgill & Hindpool","Lower heat risk","Highest heat risk",0,0,2,403,393,1
"E02003981","Parkside","Lower heat risk","Medium heat risk",2,0,1,318,483,4
"E02003982","Roose","Lower heat risk","Medium heat risk",1,0,1,373,787,3
"E02003983","Abbotsmead & Salthouse","Lower heat risk","Highest heat risk",2,0,2,391,509,2
"E02003984","Barrow Central","Lower heat risk","Highest heat risk",1,0,1,351,363,1
"E02003985","Walney Island North","Lower heat risk","Medium heat risk",1,0,1,319,713,5
"E02003986","Walney Island South & Barrow Island","Lower heat risk","Highest heat risk",0,0,1,284,577,2
"E02004424","Billericay North East","Lower heat risk","Lowest heat risk",1,0,4,351,744,10
"E02004425","Billericay Queen's Park","Lower heat risk","Lowest heat risk",0,0,2,435,648,8
"E02004426","Billericay Central & Sunnymede","Lower heat risk","Lowest heat risk",1,0,3,449,880,9
"E02004427","Billericay Tye Common","Lower heat risk","Lowest heat risk",1,1,3,413,1076,9
"E02004428","Wickford North East","High heat, not enhanced risk","Medium heat risk",3,0,1,371,807,5
"E02004429","Wickford West","High heat, not enhanced risk","Lowest heat risk",0,0,1,337,1018,8
"E02004430","Wickford Shotgate","High heat, not enhanced risk","Lowest heat risk",1,0,3,473,668,8
"E02004431","Wickford South","High heat, not enhanced risk","Lowest heat risk",1,0,1,656,524,6
"E02004432","Bursteads","High heat, not enhanced risk","Lowest heat risk",0,0,3,311,656,9
"E02004433","Steeple View & Noak Bridge","High heat, not enhanced risk","Medium heat risk",2,0,1,553,639,4
"E02004434","Felmore & Bowers Gifford","High heat, not enhanced risk","Medium heat risk",1,1,2,539,419,2
"E02004435","Whitmore Way & Fremnells","High heat, not enhanced risk","Medium heat risk",0,1,2,771,435,3
"E02004436","Chalvedon","High heat and enhanced risk","Highest heat risk",1,0,2,520,348,1
"E02004437","Laindon West & Southfields","High heat, not enhanced risk","Medium heat risk",3,0,6,706,653,3
"E02004438","Basildon Central & Pipps Hill","High heat and enhanced risk","Highest heat risk",4,0,2,777,562,1
"E02004439","Laindon Central","High heat and enhanced risk","Highest heat risk",1,0,2,895,314,2
"E02004440","Laindon East & Lee Chapel North","High heat, not enhanced risk","Medium heat risk",0,0,2,660,540,4
"E02004441","Eversley","High heat and enhanced risk","Highest heat risk",2,0,2,495,582,2
"E02004442","Barstable","High heat and enhanced risk","Highest heat risk",0,0,2,602,389,2
"E02004443","Lee Chapel South & Kingswood","High heat, not enhanced risk","Medium heat risk",0,2,4,807,694,6
"E02004444","Langdon Hills","Lower heat risk","Lowest heat risk",3,0,1,569,610,7
"E02004445","Vange & Pitsea","Lower heat risk","Highest heat risk",2,0,1,514,544,4
"E02004675","Tadley West","Lower heat risk","Lowest heat risk",6,0,3,411,740,5
"E02004676","Tadley East, Pamber & Silchester","Lower heat risk","Lowest heat risk",1,0,1,295,860,8
"E02004677","Woolton Hill, Burghclere & Bishops Green","Lower heat risk","Lowest heat risk",2,0,2,332,755,9
"E02004678","Kingsclere & Heath End","Lower heat risk","Lowest heat risk",0,0,2,334,816,9
"E02004679","Bramley, Sherfield & the Sherbornes","Lower heat risk","Lowest heat risk",3,0,4,816,778,6
"E02004680","Chineham","Lower heat risk","Lowest heat risk",0,0,3,482,305,10
"E02004681","Popley","High heat, not enhanced risk","Medium heat risk",1,0,7,1078,578,2
"E02004682","Daneshill & Little Basing","High heat, not enhanced risk","Lowest heat risk",0,1,2,459,473,10
"E02004683","Houndmills & Oakridge","High heat, not enhanced risk","Medium heat risk",2,1,2,569,583,2
"E02004684","Winklebury & Rooksdown","High heat, not enhanced risk","Lowest heat risk",4,3,5,863,545,5
"E02004685","Basingstoke Central, Black Dam & Eastrop","High heat, not enhanced risk","Medium heat risk",3,0,1,359,413,7
"E02004686","Kings Furlong","High heat, not enhanced risk","Medium heat risk",3,0,1,513,520,6
"E02004687","Buckskin & Worting","High heat, not enhanced risk","Medium heat risk",3,0,1,513,388,4
"E02004688","South Ham & West Ham","High heat, not enhanced risk","Medium heat risk",2,0,3,498,681,3
"E02004689","East Oakley","Lower heat risk","Lowest heat risk",2,0,2,223,808,9
"E02004690","Viables","High heat, not enhanced risk","Lowest heat risk",6,0,2,391,628,6
"E02004691","Old Basing & the Candovers","Lower heat risk","Lowest heat risk",4,0,4,330,1057,7
"E02004692","Kempshott","High heat, not enhanced risk","Lowest heat risk",3,0,4,253,972,10
"E02004693","Brighton Hill","High heat, not enhanced risk","Lowest heat risk",0,0,2,397,352,4
"E02004694","Whitchurch & Ashmansworth","High heat, not enhanced risk","Lowest heat risk",2,0,3,450,779,7
"E02004695","Hatch Warren","High heat, not enhanced risk","Lowest heat risk",3,0,4,450,200,9
"E02004696","Overton & North Waltham","Lower heat risk","Lowest heat risk",1,0,2,474,721,8
"E02005835","Harworth, Bircotes & Blyth","High heat, not enhanced risk","Medium heat risk",4,0,3,727,1057,3
"E02005836","Clarborough, Beckingham & Misterton","High heat, not enhanced risk","Lowest heat risk",5,0,1,398,1134,7
"E02005837","Ranskill, Everton & Gringley","High heat, not enhanced risk","Lowest heat risk",3,0,1,254,782,5
"E02005838","Carlton & Langold","High heat, not enhanced risk","Medium heat risk",1,0,2,462,861,5
"E02005839","Retford North","High heat, not enhanced risk","Medium heat risk",0,1,1,259,764,4
"E02005840","Worksop North","High heat, not enhanced risk","Lowest heat risk",2,0,1,534,522,4
"E02005842","Retford East","High heat, not enhanced risk","Medium heat risk",8,0,1,475,1030,3
"E02005843","Worksop West, Shireoaks & Rhodesia","High heat, not enhanced risk","Medium heat risk",1,0,0,422,416,2
"E02005844","Retford South","High heat, not enhanced risk","Medium heat risk",2,0,2,463,710,3
"E02005846","Worksop Cheapside","High heat and enhanced risk","Highest heat risk",2,0,0,462,442,1
"E02005847","Worksop Town & South","High heat, not enhanced risk","Medium heat risk",5,0,4,370,662,6
"E02005848","Manton, Clumber & Elkesley","High heat, not enhanced risk","Lowest heat risk",2,0,1,276,760,5
"E02005849","Tuxford, Markham & Rampton","High heat, not enhanced risk","Medium heat risk",7,1,1,368,983,6
"E02006903","Worksop Kilton","High heat, not enhanced risk","Medium heat risk",4,2,2,523,1231,4
"E02002985","Keynsham North","Lower heat risk","Medium heat risk",5,0,2,392,774,7
"E02002986","Keynsham South","High heat, not enhanced risk","Medium heat risk",0,0,1,561,670,6
"E02002987","Keynsham East","Lower heat risk","Lowest heat risk",3,0,2,288,745,10
"E02002988","Lambridge & Fairfield Park","High heat, not enhanced risk","Lowest heat risk",2,0,2,241,591,6
"E02002989","Weston","High heat, not enhanced risk","Medium heat risk",2,0,2,253,666,7
"E02002990","Walcot","High heat, not enhanced risk","Medium heat risk",0,0,3,280,313,10
"E02002991","Central Bath & Lansdown","High heat and enhanced risk","Highest heat risk",1,0,2,302,940,5
"E02002992","Newbridge","High heat, not enhanced risk","Medium heat risk",1,2,2,229,517,6
"E02002993","Kingsmead","High heat, not enhanced risk","Medium heat risk",1,0,0,206,309,8
"E02002994","Bathavon North & South","Lower heat risk","Lowest heat risk",2,0,1,395,1267,10
"E02002995","Twerton","Lower heat risk","Highest heat risk",6,0,1,406,282,2
"E02002996","Widcombe, Bathwick Hill & Claverton Down","High heat, not enhanced risk","Lowest heat risk",3,0,3,289,731,8
"E02002997","Oldfield Park West","High heat, not enhanced risk","Medium heat risk",1,0,3,290,361,2
"E02002998","Oldfield Park East","High heat, not enhanced risk","Medium heat risk",2,0,1,227,398,3
"E02002999","Southdown","High heat, not enhanced risk","Medium heat risk",0,0,1,271,464,10
"E02003000","Saltford, Farmborough & Timsbury","Lower heat risk","Medium heat risk",2,0,4,415,1253,5
"E02003001","Bloomfield","High heat, not enhanced risk","Lowest heat risk",3,0,2,215,563,10
"E02003002","Combe Down","High heat, not enhanced risk","Lowest heat risk",0,1,3,389,540,8
"E02003003","Odd Down","High heat, not enhanced risk","Lowest heat risk",2,0,0,334,457,7
"E02003004","Pensford, Clutton & Temple Cloud","Lower heat risk","Medium heat risk",4,0,3,441,643,4
"E02003005","Chew, Bishop Sutton & East Harptree","Lower heat risk","Lowest heat risk",0,0,4,329,782,10
"E02003006","Peasedown & Bathavon West","Lower heat risk","Lowest heat risk",0,1,5,421,744,9
"E02003007","High Littleton & Paulton","Lower heat risk","Medium heat risk",1,0,5,552,913,5
"E02003008","Radstock","Lower heat risk","Medium heat risk",2,0,0,412,388,6
"E02003009","Midsomer Norton North","Lower heat risk","Lowest heat risk",1,0,2,325,661,10
"E02003010","Westfield","Lower heat risk","Lowest heat risk",3,0,1,354,461,6
"E02003011","Midsomer Norton Redfield","Lower heat risk","Lowest heat risk",6,0,0,274,741,7
"E02003616","Riseley & Sharnbrook","High heat, not enhanced risk","Lowest heat risk",2,0,2,182,649,9
"E02003617","Harrold, Chellington & Turvey","High heat, not enhanced risk","Lowest heat risk",1,0,2,350,1003,10
"E02003618","Clapham, Oakley & Thurleigh","High heat, not enhanced risk","Lowest heat risk",3,0,3,414,874,8
"E02003619","Wyboston, Great Barford & Cople","High heat, not enhanced risk","Lowest heat risk",6,0,2,555,1126,6
